STATION,CLAT,CLON,STATION_ID
H06,57.33,-164.61,H-06
H07,57.33,-164,H-07
H08,57.33,-163.38,H-08
H09,57.33,-162.76,H-09
H10,57.33,-162.15,H-10
H12,57.33,-160.93,H-12
H13,57.33,-160.3,H-13
H14,57.33,-159.66,H-14
H15,57.33,-159.06,H-15
H16,57.33,-158.4,H-16
H18,57.33,-168.36,H-18
H19,57.33,-168.98,H-19
H20,57.33,-169.6,H-20
H21,57.33,-170.21,H-21
H22,57.33,-170.85,H-22
H23,57.33,-171.46,H-23
H24,57.33,-172.1,H-24
H26,57.33,-173.33,H-26
H27,57.33,-173.83,H-27
H28,57.33,-174.45,H-28
H29,57.33,-175.06,H-29
I01,57.66,-167.76,I-01
I02,57.66,-167.13,I-02
I03,57.66,-166.5,I-03
I04,57.66,-165.88,I-04
I05,57.66,-165.25,I-05
I06,57.66,-164.61,I-06
I07,57.66,-164,I-07
I08,57.66,-163.36,I-08
I10,57.66,-162.13,I-10
I11,57.66,-161.5,I-11
I12,57.66,-160.88,I-12
I13,57.66,-160.26,I-13
I14,57.66,-159.63,I-14
I15,57.66,-159.01,I-15
I16,57.66,-158.35,I-16
I18,57.66,-168.4,I-18
I19,57.66,-169.03,I-19
I20,57.66,-169.65,I-20
I21,57.66,-170.26,I-21
I22,57.66,-170.9,I-22
I24,57.66,-172.16,I-24
I25,57.66,-172.8,I-25
I26,57.66,-173.4,I-26
I27,57.66,-174.03,I-27
I28,57.66,-174.55,I-28
I29,57.66,-175.17,I-29
J01,58,-167.8,J-01
J02,58,-167.16,J-02
J03,58,-166.51,J-03
J04,58,-165.9,J-04
J05,58,-165.25,J-05
J06,58,-164.61,J-06
J08,58,-163.36,J-08
J09,58,-162.75,J-09
J10,58,-162.11,J-10
J11,58,-161.48,J-11
J12,58,-160.85,J-12
J13,58,-160.21,J-13
J14,58,-159.6,J-14
J15,58,-158.96,J-15
J16,58,-158.31,J-16
J18,58,-168.43,J-18
J20,58,-169.7,J-20
J21,58,-170.33,J-21
J22,58,-170.96,J-22
J23,58,-171.6,J-23
J24,58,-172.23,J-24
J25,58,-172.86,J-25
J26,58,-173.48,J-26
J27,58,-174.02,J-27
J28,58,-174.64,J-28
J29,58,-175.27,J-29
K01,58.33,-167.83,K-01
K03,58.33,-166.55,K-03
K04,58.33,-165.91,K-04
K05,58.33,-165.28,K-05
